;title;link;image_link;duration;status;aired;episodes;type;source;genres;themes;demographic;producers;studios;licensors;voice_actors;staffs;score;ranked;rating;favorites;popularity;members;platforms;synopsis;synonyms;japanese
0;No Game No Life;https://myanimelist.net/anime/19815/No_Game_No_Life;https://cdn.myanimelist.net/resources/mxj_panel/2022/20221116_paralive_club_event.png;23 min. per ep.;Finished Airing;Apr 9, 2014 to Jun 25, 2014;12;TV;Light novel;['Comedy', 'Fantasy', 'Ecchi'];['Isekai', 'Strategy Game'];NOT_EXIST;['Frontier Works', 'Media Factory', 'Movic', 'AT-X'];Madhouse;Sentai Filmworks;['Matsuoka, Yoshitsugu', 'Kayano, Ai', 'Hikasa, Youko', 'Tamura, Yukari', 'Kugimiya, Rie', 'Sawashiro, Miyuki', 'Shindo, Naomi', 'Noto, Mamiko', 'Iguchi, Yuka', 'Fukushima, Jun'];[{'name': 'Tanaka, Shou', 'role': 'Producer'}, {'name': 'Ishizuka, Atsuko', 'role': 'Director, Episode Director, Storyboard'}, {'name': 'Yabuta, Shuuhei', 'role': 'Director, Episode Director, Storyboard'}, {'name': 'Aketagawa, Jin', 'role': 'Sound Director'}];8.09;#471;PG-13 - Teens 13 or older;47,237;#16;2,279,804;['HIDIVE', 'Netflix'];"Sixteen sentient races inhabit Disboard, a world overseen by Tet, the One True God. The lowest of the sixteen—Imanity—consists of humans, a race with no affinity for magic. In a place where everything is decided through simple games, humankind seems to have no way out of their predicament—but the arrival of two outsiders poses a change.  On Earth, stepsiblings Sora and Shiro are two inseparable shut-ins who dominate various online games under the username ""Blank."" While notorious on the internet, the pair believe that life is merely another dull game. However, after responding to a message from an unknown user, they are suddenly transported to Disboard. The mysterious sender turns out to be Tet, who informs them about the world's absolute rules. After Tet leaves, Sora and Shiro begin their search for more information and a place to stay, taking them to Elkia—Imanity's only remaining kingdom.  There, the duo encounters Stephanie Dola, an emotional girl vying for the kingdom's sovereignty. In desperation, she attempts to regain her father's throne, but her foolhardiness makes her goal unachievable. Inspired by the girl's motivation and passion, Sora and Shiro decide to aid Stephanie in getting Elkia back on its feet, ultimately aiming to become the new rulers of the enigmatic realm.  [Written by MAL Rewrite]";NGNL;ノーゲーム・ノーライフ
1;Kill la Kill;https://myanimelist.net/anime/18679/Kill_la_Kill;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230404_20230329_readmanga_1.png;24 min. per ep.;Finished Airing;Oct 4, 2013 to Mar 28, 2014;24;TV;Original;['Action', 'Comedy', 'Ecchi'];['School', 'Super Power'];NOT_EXIST;['Aniplex', 'Dentsu', 'Kadokawa Shoten', 'Mainichi Broadcasting System', 'Movic', 'Ultra Super Pictures', 'Lucent Pictures Entertainment'];Trigger;Aniplex of America;['Koshimizu, Ami', 'Yuzuki, Ryouka', 'Suzaki, Aya', 'Seki, Toshihiko', 'Shintani, Mayumi', 'Tamura, Yukari', 'Inada, Tetsu', 'Miki, Shinichiro', 'Hiyama, Nobuyuki', 'Park, Romi'];[{'name': 'Amemiya, Akira', 'role': 'Co-Director, Episode Director, Storyboard, Key Animation, Assistant Director, 2nd Key Animation, Assistant Animation Director, Production Assistant'}, {'name': 'Ootsuka, Masahiko', 'role': 'Producer, Episode Director'}, {'name': 'Kamagata, Eiichi', 'role': 'Producer'}, {'name': 'Toba, Yousuke', 'role': 'Producer'}];8.04;#537;PG-13 - Teens 13 or older;36,549;#51;1,640,573;['Crunchyroll', 'Funimation', ''];"After the murder of her father, Ryuuko Matoi has been wandering the land in search of his killer. Following her only lead—the missing half of his invention, the Scissor Blade—she arrives at the prestigious Honnouji Academy, a high school unlike any other. The academy is ruled by the imposing and cold-hearted student council president Satsuki Kiryuuin alongside her powerful underlings, the Elite Four. In the school's brutally competitive hierarchy, Satsuki bestows upon those at the top special clothes called ""Goku Uniforms,"" which grant the wearer unique superhuman abilities.  Thoroughly beaten in a fight against one of the students in uniform, Ryuuko retreats to her razed home where she stumbles across Senketsu, a rare and sentient ""Kamui,"" or God Clothes. After coming into contact with Ryuuko's blood, Senketsu awakens, latching onto her and providing her with immense power. Now, armed with Senketsu and the Scissor Blade, Ryuuko makes a stand against the Elite Four, hoping to reach Satsuki and uncover the culprit behind her father's murder once and for all.  [Written by MAL Rewrite]";KLK, Dressed to Kill;キルラキル
2;Shokugeki no Souma;https://myanimelist.net/anime/28171/Shokugeki_no_Souma;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230313192021_20230315_ec-kimetsu-world-tour.jpg;25 min. per ep.;Finished Airing;Apr 4, 2015 to Sep 26, 2015;24;TV;Manga;['Gourmet', 'Ecchi'];NOT_EXIST;Shounen;['Dentsu', 'Frontier Works', 'Mainichi Broadcasting System', 'Magic Capsule', 'Warner Bros. Japan', 'KlockWorx', 'Showgate', 'Shueisha', 'I Will'];J.C.Staff;Sentai Filmworks;['Matsuoka, Yoshitsugu', 'Taneda, Risa', 'Takahashi, Minami', 'Akasaki, Chinatsu', 'Sakurai, Takahiro', 'Okamoto, Nobuhiko', 'Ishigami, Shizuka', 'Koyama, Rikiya', 'Hanae, Natsuki', 'Suwabe, Junichi'];[{'name': 'Matsukura, Yuuji', 'role': 'Producer'}, {'name': 'Maruyama, Hiroo', 'role': 'Producer'}, {'name': 'Shiji, Yuuichirou', 'role': 'Assistant Producer'}, {'name': 'Yonetani, Yoshitomo', 'role': 'Director, Episode Director, Storyboard'}];8.16;#398;PG-13 - Teens 13 or older;23,379;#57;1,567,734;['HIDIVE', 'Netflix', ''];"Souma Yukihira has been cooking alongside his father Jouichirou for as long as he can remember. As a sous chef at his father's restaurant, he has spent years developing his culinary expertise and inventing new dishes to amaze their customers. He aspires to exceed his father's skill and take over the restaurant one day, but he is shocked to learn that Jouichirou is closing up the shop to take a job in New York.  Rather than tagging along with his father, Souma finds himself enrolling at the prestigious Tootsuki Culinary Academy, where only 10 percent of its students end up graduating. The school is famous for its ""Shokugeki""—intense cooking competitions between students often used to settle debates and arguments. Jouichirou tells Souma that to surpass him and survive the next three years at Tootsuki and graduate there.  The academy's brutal curriculum and fiercely competitive student body await the young chef, who must learn to navigate the treacherous environment if he wants to stand a chance at realizing his dreams. But is skill alone enough to let him rise to the top?  [Written by MAL Rewrite]";Shokugeki no Soma, Food Wars: Shokugeki no Soma;食戟のソーマ
3;Highschool of the Dead;https://myanimelist.net/anime/8074/Highschool_of_the_Dead;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322180508_20230322_animeartacademy.png;24 min. per ep.;Finished Airing;Jul 5, 2010 to Sep 20, 2010;12;TV;Manga;['Action', 'Horror', 'Supernatural', 'Ecchi'];['Gore', 'Survival'];Shounen;['Geneon Universal Entertainment', 'AT-X', 'Showgate'];Madhouse;Sentai Filmworks;['Sawashiro, Miyuki', 'Inoue, Marina', 'Suwabe, Junichi', 'Hiyama, Nobuyuki', 'Kitamura, Eri', 'Fukui, Yukari', 'Taketatsu, Ayana', 'Takeuchi, Junko', 'Harada, Hitomi', 'Sakakibara, Yoshiko'];[{'name': 'Ogura, Mitsutoshi', 'role': 'Producer'}, {'name': 'Hashimoto, Kentarou', 'role': 'Producer'}, {'name': 'Araki, Tetsurou', 'role': 'Director, Episode Director, Storyboard, Key Animation'}, {'name': 'Tanaka, Kazuya', 'role': 'Sound Director'}];7.08;#3714;R+ - Mild Nudity;9,801;#72;1,435,364;['HIDIVE', 'Netflix'];"It happened suddenly: The dead began to rise and Japan was thrown into total chaos. As these monsters begin terrorizing a high school, Takashi Kimuro is forced to kill his best friend when he gets bitten and joins the ranks of the walking dead. Vowing to protect Rei Miyamoto, the girlfriend of the man he just executed, they narrowly escape their death trap of a school, only to be greeted with a society that has already fallen.  Soon, Takashi and Rei band together with other students on a journey to find their family members and uncover what caused this overwhelming pandemic. Joining them is Saeko Busujima, the beautiful president of the Kendo Club; Kouta Hirano, an otaku with a fetish for firearms; Saya Takagi, the daughter of an influential politician; and Shizuka Marikawa, their hot school nurse. But will the combined strength of these individuals be enough to conquer this undead apocalypse?  [Written by MAL Rewrite]";Gakuen Mokushiroku: Highschool of the Dead, HOTD, HSOTD;学園黙示録 HIGHSCHOOL OF THE DEAD
4;High School DxD;https://myanimelist.net/anime/11617/High_School_DxD;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230531_20230329_readmanga_2.png;24 min. per ep.;Finished Airing;Jan 6, 2012 to Mar 23, 2012;12;TV;Light novel;['Comedy', 'Romance', 'Ecchi'];['Harem', 'Mythology', 'School'];NOT_EXIST;['Genco', 'Lantis', 'Media Factory', 'AT-X', 'PRA', 'Showgate', 'Atelier Musa', 'Fujimi Shobo'];TNK;Funimation;['Hikasa, Youko', 'Itou, Shizuka', 'Kaji, Yuuki', 'Taketatsu, Ayana', 'Asakura, Azumi', 'Nojima, Kenji', 'Nishi, Asuka', 'Tachiki, Fumihiko', 'Suwabe, Junichi', 'Nabatame, Hitomi'];[{'name': 'Saitou, Shigeru', 'role': 'Producer'}, {'name': 'Hatakeyama, Takurou', 'role': 'Producer'}, {'name': 'Tanaka, Shinsaku', 'role': 'Producer'}, {'name': 'Usui, Hisato', 'role': 'Producer'}];7.34;#2399;R+ - Mild Nudity;21,769;#80;1,354,985;['Funimation', 'Netflix'];High school student Issei Hyoudou is your run-of-the-mill pervert who does nothing productive with his life, peeping on women and dreaming of having his own harem one day. Things seem to be looking up for Issei when a beautiful girl asks him out on a date, although she turns out to be a fallen angel who brutally kills him! However, he gets a second chance at life when beautiful senior student Rias Gremory, who is a top-class devil, revives him as her servant, recruiting Issei into the ranks of the school's Occult Research club.  Slowly adjusting to his new life, Issei must train and fight in order to survive in the violent world of angels and devils. Each new adventure leads to many hilarious (and risqué) moments with his new comrades, all the while keeping his new life a secret from his friends and family in High School DxD!  [Written by MAL Rewrite];Highschool DxD;ハイスクールD×D
5;Mushoku Tensei: Isekai Ittara Honki Dasu;https://myanimelist.net/anime/39535/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230404_20230329_readmanga_1.png;23 min. per ep.;Finished Airing;Jan 11, 2021 to Mar 22, 2021;11;TV;Light novel;['Drama', 'Fantasy', 'Ecchi'];['Isekai', 'Reincarnation'];NOT_EXIST;['Frontier Works', 'TOHO animation', 'Hakuhodo DY Music & Pictures', 'BS11', 'Egg Firm', 'Kadokawa', 'GREE', 'Toho Music'];Studio Bind;Funimation;['Kohara, Konomi', 'Uchiyama, Yumi', 'Kakuma, Ai', 'Kayano, Ai', 'Namikawa, Daisuke', 'Toyoguchi, Megumi', 'Tsuda, Kenjirou', 'Morikawa, Toshiyuki', 'Kanemoto, Hisako', 'Takada, Yuuki'];[{'name': 'Yamanaka, Takahiro', 'role': 'Producer'}, {'name': 'Oowada, Tomoyuki', 'role': 'Producer'}, {'name': 'Ootomo, Toshiya', 'role': 'Producer'}, {'name': 'Hatakeyama, Takurou', 'role': 'Producer'}];8.37;#196;R - 17+ (violence & profanity);27,664;#118;1,119,903;['Crunchyroll', 'Funimation', '', '', '', ''];Despite being bullied, scorned, and oppressed all of his life, a 34-year-old shut-in still found the resolve to attempt something heroic—only for it to end in a tragic accident. But in a twist of fate, he awakens in another world as Rudeus Greyrat, starting life again as a baby born to two loving parents.  Preserving his memories and knowledge from his previous life, Rudeus quickly adapts to his new environment. With the mind of a grown adult, he starts to display magical talent that exceeds all expectations, honing his skill with the help of a mage named Roxy Migurdia. Rudeus learns swordplay from his father, Paul, and meets Sylphiette, a girl his age who quickly becomes his closest friend.  As Rudeus' second chance at life begins, he tries to make the most of his new opportunity while conquering his traumatic past. And perhaps, one day, he may find the one thing he could not find in his old world—love.  [Written by MAL Rewrite];Jobless Reincarnation: I Will Seriously Try If I Go To Another World;無職転生 ～異世界行ったら本気だす～
6;Shokugeki no Souma: Ni no Sara;https://myanimelist.net/anime/32282/Shokugeki_no_Souma__Ni_no_Sara;https://cdn.myanimelist.net/resources/mxj_panel/2022/20221116_paralive_club_event.png;24 min. per ep.;Finished Airing;Jul 2, 2016 to Sep 24, 2016;13;TV;Manga;['Gourmet', 'Ecchi'];NOT_EXIST;Shounen;['Dentsu', 'Lantis', 'Mainichi Broadcasting System', 'KlockWorx', 'Showgate', 'Shueisha'];J.C.Staff;Sentai Filmworks;['Matsuoka, Yoshitsugu', 'Taneda, Risa', 'Takahashi, Minami', 'Akasaki, Chinatsu', 'Sakurai, Takahiro', 'Okamoto, Nobuhiko', 'Ishigami, Shizuka', 'Koyama, Rikiya', 'Hanae, Natsuki', 'Suwabe, Junichi'];[{'name': 'Matsukura, Yuuji', 'role': 'Producer'}, {'name': 'Kamei, Hiroshi', 'role': 'Producer'}, {'name': 'Maruyama, Hiroo', 'role': 'Producer'}, {'name': 'Fujio, Akifumi', 'role': 'Producer'}];8.09;#475;PG-13 - Teens 13 or older;3,048;#124;1,083,944;['HIDIVE', 'Netflix', ''];The qualifiers of the Autumn Elections are now over, and only eight talented chefs remain. Now, they face off in one-on-one food wars, each with their own unique themes. Met with both new judges and new opponents all with their own specialties, Souma must stay on his toes if he hopes to make it to the top of both the Autumn Elections and Tootsuki Culinary Academy.  [Written by MAL Rewrite];Shokugeki no Souma 2nd Season, Shokugeki no Soma 2, Food Wars: Shokugeki no Soma 2, Shokugeki no Soma: The Second Plate;食戟のソーマ 弍ノ皿
7;Prison School;https://myanimelist.net/anime/30240/Prison_School;https://cdn.myanimelist.net/resources/mxj_panel/2022/20221116_paralive_club_event.png;24 min. per ep.;Finished Airing;Jul 11, 2015 to Sep 26, 2015;12;TV;Manga;['Comedy', 'Romance', 'Ecchi'];['Gag Humor', 'School'];Seinen;['Genco', 'Kodansha', 'Movic', 'Warner Bros. Japan', 'KlockWorx', 'Showgate'];J.C.Staff;Funimation;['Konishi, Katsuyuki', 'Kamiya, Hiroshi', 'Okitsu, Kazuyuki', 'Namikawa, Daisuke', 'Suzumura, Kenichi', 'Hanazawa, Kana', 'Itou, Shizuka', 'Fujiwara, Keiji', 'Ohara, Sayaka', 'Hashimoto, Chinami'];[{'name': 'Hatakeyama, Takurou', 'role': 'Producer'}, {'name': 'Suzuki, Kaoru', 'role': 'Producer'}, {'name': 'Tateishi, Kensuke', 'role': 'Producer'}, {'name': 'Mizushima, Tsutomu', 'role': 'Director, Sound Director, Episode Director, Storyboard'}];7.61;#1384;R+ - Mild Nudity;7,038;#150;955,936;['Crunchyroll', 'Funimation', ''];Located on the outskirts of Tokyo, Hachimitsu Private Academy is a prestigious all-girls boarding school, famous for its high-quality education and disciplined students. However, this is all about to change due to the revision of the school's most iconic policy, as boys are now able to enroll as well.  At the start of the first semester under this new decree, a mere five boys have been accepted, effectively splitting the student body into a ratio of two hundred girls to one boy. Kiyoshi, Gakuto, Shingo, Andre, and Jo are quickly cast away without having a chance to make any kind of a first impression. Unable to communicate with their fellow female students, the eager boys set their sights on a far more dangerous task: peeping into the girls' bath!  It's only after their plan is thoroughly decimated by the infamous Underground Student Council that the motley crew find their freedom abruptly taken from them, as they are thrown into the school's prison with the sentence of an entire month as punishment. Thus begins the tale of the boys' harsh lives in Prison School, a righteous struggle that will ultimately test the bonds of friendship and perverted brotherhood.  [Written by MAL Rewrite];Kangoku Gakuen;監獄学園〈プリズンスクール〉
8;Shokugeki no Souma: San no Sara;https://myanimelist.net/anime/35788/Shokugeki_no_Souma__San_no_Sara;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230531_20230329_readmanga_2.png;24 min. per ep.;Finished Airing;Oct 4, 2017 to Dec 20, 2017;12;TV;Manga;['Gourmet', 'Ecchi'];NOT_EXIST;Shounen;['Lantis', 'Warner Bros. Japan', 'KlockWorx', 'Shueisha'];J.C.Staff;Sentai Filmworks;['Matsuoka, Yoshitsugu', 'Kanemoto, Hisako', 'Takahashi, Minami', 'Akasaki, Chinatsu', 'Itou, Shizuka', 'Sakurai, Takahiro', 'Okamoto, Nobuhiko', 'Ishigami, Shizuka', 'Koyama, Rikiya', 'Hanae, Natsuki'];[{'name': 'Matsukura, Yuuji', 'role': 'Producer'}, {'name': 'Yonetani, Yoshitomo', 'role': 'Director, Storyboard'}, {'name': 'Sokuza, Makoto', 'role': 'Episode Director'}, {'name': 'Miura, Kazuya', 'role': 'Episode Director'}];8.01;#575;PG-13 - Teens 13 or older;2,627;#156;925,073;['Crunchyroll', 'Netflix', ''];"The Moon Festival is Tootsuki Academy's annual gourmet gala, where students compete against each other to earn the most profit through selling their cuisine of choice. But for Souma Yukihira, it is also his first opportunity to challenge the Elite Ten, the supreme council that rules over the academy.  However, this is only the beginning of Souma's war against the Elite Ten; a nefarious plot is underway that will provide Souma with the challenge he desires but will also shake the very foundations of Tootsuki Academy itself.  [Written by MAL Rewrite]";Shokugeki no Soma 3rd Season, Shokugeki no Soma 3;食戟のソーマ 餐ノ皿
9;Rakudai Kishi no Cavalry;https://myanimelist.net/anime/30296/Rakudai_Kishi_no_Cavalry;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322180508_20230322_animeartacademy.png;23 min. per ep.;Finished Airing;Oct 3, 2015 to Dec 19, 2015;12;TV;Light novel;['Action', 'Fantasy', 'Romance', 'Ecchi'];NOT_EXIST;NOT_EXIST;['Frontier Works', 'Media Factory', 'AT-X', 'flying DOG', 'Hakuhodo DY Music & Pictures', 'Animatic', 'SB Creative'];SILVER LINK., Nexus;Sentai Filmworks;['Oosaka, Ryouta', 'Ishigami, Shizuka', 'Touyama, Nao', 'Asanuma, Shintarou', 'Kanemoto, Hisako', 'Kobayashi, Yuu', 'Iguchi, Yuka', 'Kitta, Izumi', 'Hosoya, Yoshimasa', 'Oosaka, Ryouta'];[{'name': 'Nakayama, Takuya', 'role': 'Producer'}, {'name': 'Itou, Shousei', 'role': 'Producer'}, {'name': 'Nakagawa, Jirou', 'role': 'Producer'}, {'name': 'Nagase, Natsuko', 'role': 'Producer'}];7.45;#1909;R - 17+ (violence & profanity);8,452;#165;896,676;['Crunchyroll', 'HIDIVE', ''];"There exist few humans in this world with the ability to manipulate their souls to form powerful weapons. Dubbed ""Blazers,"" these people study and train at the prestigious Hagun Academy to become Mage-Knights; among the students is so-called failure Ikki Kurogane, the sole F-rated Blazer. However, when the worst student in the academy sees Stella Vermillion, an A-ranked Blazer who also happens to be a princess, naked, she challenges him to a duel with dire stakes—the loser becomes the slave of the winner. There's no possible way that Stella can lose, right?  As he tries to prove his strength to a world that believes him to be the weakest, Ikki gains new friends, wisdom, and experience.  [Written by MAL Rewrite]";A Chivalry of the Failed Knight, Rakudai Kishi no Eiyuutan, A Tale of Worst One;落第騎士の英雄譚《キャバルリィ》
