;title;link;image_link;duration;status;aired;episodes;type;source;genres;themes;demographic;producers;studios;licensors;voice_actors;staffs;score;ranked;rating;favorites;popularity;members;platforms;synopsis;synonyms;japanese
0;Tokyo Ghoul;https://myanimelist.net/anime/22319/Tokyo_Ghoul;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230531_20230329_readmanga_2.png;24 min. per ep.;Finished Airing;Jul 4, 2014 to Sep 19, 2014;12;TV;Manga;['Action', 'Fantasy', 'Horror'];['Gore', 'Psychological'];Seinen;['Marvelous AQL', 'TC Entertainment', 'Shueisha'];Pierrot;Funimation;['Kobori, Yurie', 'Amamiya, Sora', 'Kugimiya, Rie', 'Sakurai, Takahiro', 'Miyano, Mamoru', 'Toyonaga, Toshiyuki', 'Sakamoto, Maaya', 'Namikawa, Daisuke', 'Kaji, Yuuki', 'Hanazawa, Kana'];[{'name': 'Maruyama, Hajime', 'role': 'Producer'}, {'name': 'Morita, Shuuhei', 'role': 'Director, Episode Director, Storyboard'}, {'name': 'Haraguchi, Noboru', 'role': 'Sound Director'}, {'name': 'Matsubayashi, Tadahito', 'role': 'Episode Director, Storyboard'}];7.79;#953;R - 17+ (violence & profanity);48,703;#9;2,664,494;['Crunchyroll', 'Funimation', '', ''];"A sinister threat is invading Tokyo: flesh-eating ""ghouls"" who appear identical to humans and blend into their population. Reserved college student Ken Kaneki buries his nose in books and avoids the news of the growing crisis. However, the appearance of an attractive woman named Rize Kamishiro shatters his solitude when she forwardly asks him on a date.  While walking Rize home, Kaneki discovers she isn't as kind as she first appeared, and she has led him on with sinister intent. After a tragic struggle, he later awakens in a hospital to learn his life was saved by transplanting the now deceased Rize's organs into his own body.  Kaneki's body begins to change in horrifying ways, and he transforms into a human-ghoul hybrid. As he embarks on his new dreadful journey, Kaneki clings to his humanity in the evolving bloody conflict between society's new monsters and the government agents who hunt them.  [Written by MAL Rewrite]";Tokyo Kushu, Toukyou Kushu, Toukyou Ghoul;東京喰種-トーキョーグール-
1;Kiseijuu: Sei no Kakuritsu;https://myanimelist.net/anime/22535/Kiseijuu__Sei_no_Kakuritsu;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230531_20230329_readmanga_2.png;23 min. per ep.;Finished Airing;Oct 9, 2014 to Mar 26, 2015;24;TV;Manga;['Action', 'Horror', 'Sci-Fi'];['Gore', 'Psychological'];Seinen;['VAP', 'Kodansha', 'Nippon Television Network', 'Forecast Communications'];Madhouse;Sentai Filmworks;['Shimazaki, Nobunaga', 'Hirano, Aya', 'Tanaka, Atsuko', 'Sawashiro, Miyuki', 'Hanazawa, Kana', 'Murase, Ayumu', 'Inoue, Kazuhiko', 'Yoshino, Hiroyuki', 'Suzuki, Takuma', 'Mizushima, Yuu'];[{'name': 'Nakatani, Toshio', 'role': 'Producer'}, {'name': 'Shimizu, Kenichi', 'role': 'Director, Storyboard'}, {'name': 'Yamada, Chiaki', 'role': 'Sound Director'}, {'name': 'Yabuta, Shuuhei', 'role': 'Episode Director, Storyboard'}];8.34;#211;R - 17+ (violence & profanity);33,165;#42;1,756,741;['Crunchyroll', 'HIDIVE', '', ''];All of a sudden, they arrived: parasitic aliens that descended upon Earth and quickly infiltrated humanity by burrowing into the brains of vulnerable targets. These insatiable beings acquire full control of their host and are able to morph into a variety of forms in order to feed on unsuspecting prey.  Sixteen-year-old high school student Shinichi Izumi falls victim to one of these parasites, but it fails to take over his brain, ending up in his right hand instead. Unable to relocate, the parasite, now named Migi, has no choice but to rely on Shinichi in order to stay alive. Thus, the pair is forced into an uneasy coexistence and must defend themselves from hostile parasites that hope to eradicate this new threat to their species.  [Written by MAL Rewrite];Parasite, Parasitic Beasts, Parasyte;寄生獣 セイの格率
2;Tokyo Ghoul √A;https://myanimelist.net/anime/27899/Tokyo_Ghoul_%E2%88%9AA;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322180508_20230322_animeartacademy.png;24 min. per ep.;Finished Airing;Jan 9, 2015 to Mar 27, 2015;12;TV;Manga;['Action', 'Fantasy', 'Horror'];['Gore', 'Psychological'];Seinen;['Marvelous AQL', 'Shueisha'];Pierrot;Funimation;['Hanae, Natsuki', 'Amamiya, Sora', 'Kugimiya, Rie', 'Sakurai, Takahiro', 'Miyano, Mamoru', 'Toyonaga, Toshiyuki', 'Sakamoto, Maaya', 'Namikawa, Daisuke', 'Kaji, Yuuki', 'Konishi, Katsuyuki'];[{'name': 'Maruyama, Hajime', 'role': 'Producer'}, {'name': 'Morita, Shuuhei', 'role': 'Director, Episode Director, Storyboard'}, {'name': 'Haraguchi, Noboru', 'role': 'Sound Director'}, {'name': 'Sueda, Yoshifumi', 'role': 'Episode Director, Storyboard'}];7.03;#3967;R - 17+ (violence & profanity);10,287;#46;1,687,716;['Crunchyroll', 'Shahid'];Ken Kaneki has finally come to accept the monstrous, flesh-craving part of himself that he has feared and despised for so long. After escaping captivity and torture, Kaneki joins Aogiri Tree—the very militant ghoul organization that had abducted him, leading his friends to question his true motive and loyalty.  As tension between the government and the ghouls continues to rise, the Commission of Counter Ghoul, the government's specialized anti-ghoul agency, has intensified their efforts to completely purge Tokyo of ghouls. This threatens the transient peace of Kaneki's friends and former comrades—the ghouls at the Anteiku coffee shop. Aware of the dangerous situation, Kaneki faces several battles that puts his precious fleeting humanity on the line.  [Written by MAL Rewrite];Tokyo Ghoul Root A, Tokyo Ghoul 2nd Season, Tokyo Ghoul Second Season;東京喰種√A
3;Another;https://myanimelist.net/anime/11111/Another;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322180508_20230322_animeartacademy.png;24 min. per ep.;Finished Airing;Jan 10, 2012 to Mar 27, 2012;12;TV;Novel;['Horror', 'Mystery', 'Supernatural'];['Gore', 'School'];NOT_EXIST;['Lantis', 'Kadokawa Shoten', 'Toho', 'KlockWorx', 'Bandai Namco Live Creative', 'NTT Docomo'];P.A. Works;Sentai Filmworks;['Takamori, Natsumi', 'Abe, Atsushi', 'Yonezawa, Madoka', 'Maeno, Tomoaki', 'Yamamoto, Kazutomi', 'Hirata, Hiroaki', 'Nonaka, Ai', 'Sakakibara, Naoko', 'Ichiki, Mitsuhiro'];[{'name': 'Horikawa, Kenji', 'role': 'Producer, Planning'}, {'name': 'Itou, Yoshiyuki', 'role': 'Producer'}, {'name': 'Saitou, Shigeru', 'role': 'Producer'}, {'name': 'Shinozaki, Fumihiko', 'role': 'Producer'}];7.48;#1809;R - 17+ (violence & profanity);16,886;#56;1,587,089;['Crunchyroll', 'Netflix'];"In class 3-3 of Yomiyama North Junior High, transfer student Kouichi Sakakibara makes his return after taking a sick leave for the first month of school. Among his new classmates, he is inexplicably drawn toward Mei Misaki—a reserved girl with an eyepatch whom he met in the hospital during his absence. But none of his classmates acknowledge her existence; they warn him not to acquaint himself with things that do not exist. Against their words of caution, Kouichi befriends Mei—soon learning of the sinister truth behind his friends' apprehension.  The ominous rumors revolve around a former student of the class 3-3. However, no one will share the full details of the grim event with Kouichi. Engrossed in the curse that plagues his class, Kouichi sets out to discover its connection to his new friend. As a series of tragedies arise around them, it is now up to Kouichi, Mei, and their classmates to unravel the eerie mystery—but doing so will come at a hefty price.  [Written by MAL Rewrite]";NOT_EXIST;アナザー
4;Elfen Lied;https://myanimelist.net/anime/226/Elfen_Lied;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322180508_20230322_animeartacademy.png;25 min. per ep.;Finished Airing;Jul 25, 2004 to Oct 17, 2004;13;TV;Manga;['Action', 'Drama', 'Horror', 'Romance', 'Supernatural'];['Gore', 'Psychological'];Seinen;['VAP', 'Genco', 'Studio Guts'];Arms;ADV Films;['Kobayashi, Sanae', 'Matsuoka, Yuki', 'Suzuki, Chihiro', 'Hagiwara, Emiko', 'Noto, Mamiko', 'Kawakami, Tomoko', 'Nakata, Jouji', 'Hosoi, Osamu', 'Takahashi, Mikako', 'Yamamoto, Maria'];[{'name': 'Tamura, Manabu', 'role': 'Producer'}, {'name': 'Morijiri, Kazuaki', 'role': 'Producer'}, {'name': 'Kanbe, Mamoru', 'role': 'Director, Episode Director, Storyboard'}, {'name': 'Shimizu, Katsunori', 'role': 'Sound Director'}];7.49;#1779;R+ - Mild Nudity;23,367;#70;1,449,083;['HIDIVE'];"Lucy is a special breed of human referred to as ""Diclonius,"" born with a short pair of horns and invisible telekinetic hands that lands her as a victim of inhumane scientific experimentation by the government. However, once circumstances present her an opportunity to escape, Lucy, corrupted by the confinement and torture, unleashes a torrent of bloodshed as she escapes her captors.  During her breakout, she receives a crippling head injury that leaves her with a split personality: someone with the mentality of a harmless child possessing limited speech capacity. In this state of instability, she stumbles upon two college students, Kouta and his cousin Yuka, who unknowingly take an injured fugitive into their care, unaware of her murderous tendencies. This act of kindness will change their lives, as they soon find themselves dragged into the shadowy world of government secrecy and conspiracy.  [Written by MAL Rewrite]";Elfen Song, Elfic Song, Elf Song;エルフェンリート
5;Highschool of the Dead;https://myanimelist.net/anime/8074/Highschool_of_the_Dead;https://cdn.myanimelist.net/resources/mxj_panel/2022/20221116_paralive_club_event.png;24 min. per ep.;Finished Airing;Jul 5, 2010 to Sep 20, 2010;12;TV;Manga;['Action', 'Horror', 'Supernatural', 'Ecchi'];['Gore', 'Survival'];Shounen;['Geneon Universal Entertainment', 'AT-X', 'Showgate'];Madhouse;Sentai Filmworks;['Sawashiro, Miyuki', 'Inoue, Marina', 'Suwabe, Junichi', 'Hiyama, Nobuyuki', 'Kitamura, Eri', 'Fukui, Yukari', 'Taketatsu, Ayana', 'Takeuchi, Junko', 'Harada, Hitomi', 'Sakakibara, Yoshiko'];[{'name': 'Ogura, Mitsutoshi', 'role': 'Producer'}, {'name': 'Hashimoto, Kentarou', 'role': 'Producer'}, {'name': 'Araki, Tetsurou', 'role': 'Director, Episode Director, Storyboard, Key Animation'}, {'name': 'Tanaka, Kazuya', 'role': 'Sound Director'}];7.08;#3713;R+ - Mild Nudity;9,801;#72;1,435,313;['HIDIVE', 'Netflix'];"It happened suddenly: The dead began to rise and Japan was thrown into total chaos. As these monsters begin terrorizing a high school, Takashi Kimuro is forced to kill his best friend when he gets bitten and joins the ranks of the walking dead. Vowing to protect Rei Miyamoto, the girlfriend of the man he just executed, they narrowly escape their death trap of a school, only to be greeted with a society that has already fallen.  Soon, Takashi and Rei band together with other students on a journey to find their family members and uncover what caused this overwhelming pandemic. Joining them is Saeko Busujima, the beautiful president of the Kendo Club; Kouta Hirano, an otaku with a fetish for firearms; Saya Takagi, the daughter of an influential politician; and Shizuka Marikawa, their hot school nurse. But will the combined strength of these individuals be enough to conquer this undead apocalypse?  [Written by MAL Rewrite]";Gakuen Mokushiroku: Highschool of the Dead, HOTD, HSOTD;学園黙示録 HIGHSCHOOL OF THE DEAD
6;Deadman Wonderland;https://myanimelist.net/anime/6880/Deadman_Wonderland;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230531_20230329_readmanga_2.png;24 min. per ep.;Finished Airing;Apr 17, 2011 to Jul 3, 2011;12;TV;Manga;['Action', 'Horror', 'Sci-Fi', 'Supernatural'];['Gore', 'High Stakes Game', 'Survival'];Shounen;['Kadokawa Shoten', 'Kadokawa Pictures Japan', 'KlockWorx', 'AMG MUSIC'];Manglobe;Funimation;['Hanazawa, Kana', 'Park, Romi', 'Katou, Masayuki', 'Sawashiro, Miyuki', 'Nomizu, Iori', 'Morikawa, Toshiyuki', 'Honda, Takako', 'Ono, Daisuke', 'Itou, Kumiko', 'Kaji, Yuuki'];[{'name': 'Kouchiyama, Takashi', 'role': 'Producer'}, {'name': 'Kobayashi, Shinichirou', 'role': 'Producer'}, {'name': 'Matsuura, Hiroaki', 'role': 'Producer'}, {'name': 'Hatsumi, Kouichi', 'role': 'Director'}];7.15;#3387;R - 17+ (violence & profanity);6,616;#103;1,186,705;['Crunchyroll', 'Funimation'];"It looked like it would be a normal day for Ganta Igarashi and his classmates—they were preparing to go on a class field trip to a certain prison amusement park called Deadman Wonderland, where the convicts perform dangerous acts for the onlookers' amusement. However, Ganta's life is quickly turned upside down when his whole class gets massacred by a mysterious man in red. Framed for the incident and sentenced to death, Ganta is sent to the very jail he was supposed to visit.  But Ganta's nightmare is only just beginning.  The young protagonist is thrown into a world of sadistic inmates and enigmatic powers, to live in constant fear of the lethal collar placed around his neck that is slowed only by winning in the prison's deathly games. Ganta must bet his life to survive in a ruthless place where it isn't always easy to tell friend from foe, all while trying to find the mysterious ""Red Man"" and clear his name, in Deadman Wonderland.  [Written by MAL Rewrite]";DEADMAN WONDERLAND;デッドマン・ワンダーランド
7;Tokyo Ghoul:re;https://myanimelist.net/anime/36511/Tokyo_Ghoul_re;https://cdn.myanimelist.net/resources/mxj_panel/2022/20221116_paralive_club_event.png;24 min. per ep.;Finished Airing;Apr 3, 2018 to Jun 19, 2018;12;TV;Manga;['Action', 'Fantasy', 'Horror'];['Gore', 'Psychological'];Seinen;['Marvelous', 'TC Entertainment'];Pierrot, Pierrot Plus;Funimation;['Hanae, Natsuki', 'Hanae, Natsuki', 'Sakura, Ayane', 'Ishikawa, Kaito', 'Fujiwara, Natsumi', 'Uchida, Yuuma', 'Kugimiya, Rie', 'Amamiya, Sora', 'Sakurai, Takahiro', 'Miyano, Mamoru'];[{'name': 'Watanabe, Toshinori', 'role': 'Director'}, {'name': 'Haraguchi, Noboru', 'role': 'Sound Director'}, {'name': 'Kawanishi, Taiji', 'role': 'Episode Director'}, {'name': 'Toyama, Sou', 'role': 'Episode Director'}];6.37;#7475;R - 17+ (violence & profanity);3,748;#121;1,103,632;['Crunchyroll', 'Netflix', ''];Two years have passed since the CCG's raid on Anteiku. Although the atmosphere in Tokyo has changed drastically due to the increased influence of the CCG, ghouls continue to pose a problem as they have begun taking caution, especially the terrorist organization Aogiri Tree, who acknowledge the CCG's growing threat to their existence.  The creation of a special team, known as the Quinx Squad, may provide the CCG with the push they need to exterminate Tokyo's unwanted residents. As humans who have undergone surgery in order to make use of the special abilities of ghouls, they participate in operations to eradicate the dangerous creatures. The leader of this group, Haise Sasaki, is a half-ghoul, half-human who has been trained by famed special class investigator, Kishou Arima. However, there's more to this young man than meets the eye, as unknown memories claw at his mind, slowly reminding him of the person he used to be.  [Written by MAL Rewrite];Tokyo Kushu:re, Toukyou Kuushu:re;東京喰種トーキョーグール：re
8;Devilman: Crybaby;https://myanimelist.net/anime/35120/Devilman__Crybaby;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322180508_20230322_animeartacademy.png;25 min. per ep.;Finished Airing;Jan 5, 2018;10;ONA;Manga;['Action', 'Avant Garde', 'Horror', 'Supernatural'];['Gore', 'Mythology'];Shounen;['Aniplex', 'Dynamic Planning', 'Netflix'];Science SARU;None found, add some;['Murase, Ayumu', 'Uchiyama, Kouki', 'Uchiyama, Kouki', 'Han, Megumi', 'Murase, Ayumu', 'Koshimizu, Ami', 'KEN THE 390', 'Young Dais', 'Tanaka, Atsuko'];[{'name': 'Choi, Eun-Young', 'role': 'Producer'}, {'name': 'Yuasa, Masaaki', 'role': 'Director, Episode Director, Storyboard, Key Animation'}, {'name': 'Kimura, Eriko', 'role': 'Sound Director'}, {'name': 'Oshiyama, Kiyotaka', 'role': 'Episode Director, Storyboard, Animation Director, Character Design, Key Animation'}];7.76;#1003;R+ - Mild Nudity;22,714;#129;1,064,197;['Netflix'];Devils cannot take form without a living host. However, if the will of an individual is strong enough, they can overcome the demon and make its power their own, becoming a Devilman.  Weak and unassuming, Akira Fudou has always had a bleeding heart. So when his childhood friend Ryou Asuka asks for his help in uncovering devils, Akira accepts without hesitation. However, to Akira's surprise, the place they go to is Sabbath: an immoral party of debauchery and degeneracy. Amidst bloodshed and death, demons possess the partiers, turning their bodies into grotesque monsters, and begin wreaking havoc. In a reckless attempt to save his best friend, Akira unwittingly merges with the devil Amon and becomes a Devilman, gaining the power to defeat the remaining demons.  Though it grants him great power, this new partnership awakens an insatiable and primeval part of Akira. Having the body of a devil but the same crybaby heart, Akira works alongside Ryou, destroying those that harm humanity and his loved ones.  [Written by MAL Rewrite];NOT_EXIST;DEVILMAN crybaby
9;Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation;https://myanimelist.net/anime/16592/Danganronpa__Kibou_no_Gakuen_to_Zetsubou_no_Koukousei_The_Animation;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230313192021_20230315_ec-kimetsu-world-tour.jpg;24 min. per ep.;Finished Airing;Jul 5, 2013 to Sep 27, 2013;13;TV;Visual novel;['Horror', 'Mystery'];['High Stakes Game', 'Psychological', 'School', 'Survival'];NOT_EXIST;['Geneon Universal Entertainment', 'Studio Hibari', 'Mainichi Broadcasting System', 'Showgate'];Lerche;Funimation;['Hikasa, Youko', 'Ooyama, Nobuyo', 'Ogata, Megumi', 'Toyoguchi, Megumi', 'Shiina, Hekiru', 'Sawashiro, Miyuki', 'Ishida, Akira', 'Miyata, Kouki', 'Toriumi, Kousuke', 'Saitou, Chiwa'];[{'name': 'Maeda, Toshihiro', 'role': 'Producer'}, {'name': 'Kishi, Seiji', 'role': 'Director'}, {'name': 'Oohashi, Akiyo', 'role': 'Episode Director'}, {'name': 'Tatum, John Michael', 'role': 'Script'}];7.22;#3004;R - 17+ (violence & profanity);8,096;#164;898,383;['Crunchyroll', 'Funimation'];Makoto Naegi, a teenager with no remarkable talent, is surprised to learn that he has been accepted into Hope's Peak Private Academy: an elite school that gathers the best students from various fields. Despite believing his admission was just a fluke, Naegi is delighted to attend an institution known for ensuring success to those who graduate. Determined, he enters the front doors of the prestigious academy.  However, after losing consciousness inside, Naegi wakes up in a seemingly abandoned classroom. Failing to comprehend how he got there, Naegi begins to explore, and to his surprise, finds his classmates assembled in the gym. While everyone is trying to figure out what happened, they are confronted by the school principal—Monokuma, a robotic teddy bear. The mysterious toy explains that the freshmen are trapped inside the school with only one means of escape—kill a classmate without being discovered.  Tension fills the air as Naegi and his classmates realize that they are faced with two choices: participate in Monokuma's killing game, or reside together in the school for the rest of their lives.  [Written by MAL Rewrite];Dangan Ronpa: The Animation;ダンガンロンパ 希望の学園と絶望の高校生 THE ANIMATION
