;title;link;image_link;duration;status;aired;episodes;type;source;genres;themes;demographic;producers;studios;licensors;voice_actors;staffs;score;ranked;rating;favorites;popularity;members;platforms;synopsis;synonyms;japanese
0;Haikyuu!!;https://myanimelist.net/anime/20583/Haikyuu;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230531_20230329_readmanga_2.png;24 min. per ep.;Finished Airing;Apr 6, 2014 to Sep 21, 2014;25;TV;Manga;NOT_EXIST;['School', 'Team Sports'];Shounen;['Dentsu', 'Mainichi Broadcasting System', 'Movic', 'TOHO animation', 'Shueisha', 'Spacey Music Entertainment'];Production I.G;Sentai Filmworks;['Murase, Ayumu', 'Ishikawa, Kaito', 'Namikawa, Daisuke', 'Okamoto, Nobuhiko', 'Kaji, Yuuki', 'Uchiyama, Kouki', 'Nakamura, Yuuichi', 'Irino, Miyu', 'Hayashi, Yuu', 'Saitou, Souma'];[{'name': 'Morihiro, Fumi', 'role': 'Producer'}, {'name': 'Kananiwa, Kozue', 'role': 'Producer'}, {'name': 'Matsushita, Keiko', 'role': 'Producer'}, {'name': 'Maeda, Toshihiro', 'role': 'Producer'}];8.44;#153;PG-13 - Teens 13 or older;70,220;#36;1,842,079;['Crunchyroll', 'Netflix'];"Ever since having witnessed the ""Little Giant"" and his astonishing skills on the volleyball court, Shouyou Hinata has been bewitched by the dynamic nature of the sport. Even though his attempt to make his debut as a volleyball regular during a middle school tournament went up in flames, he longs to prove that his less-than-impressive height ceases to be a hindrance in the face of his sheer will and perseverance.  When Hinata enrolls in Karasuno High School, the Little Giant's alma mater, he believes that he is one step closer to his goal of becoming a professional volleyball player. Although the school only retains a shadow of its former glory, Hinata's conviction isn't shaken until he learns that Tobio Kageyama—the prodigy who humiliated Hinata's middle school volleyball team in a crushing defeat—is now his teammate.  To fulfill his desire of leaving a mark on the realm of volleyball—so often regarded as the domain of the tall and the strong—Hinata must smooth out his differences with Kageyama. Only when Hinata learns what it takes to be a part of a team will he be able to join the race to the top in earnest.  [Written by MAL Rewrite]";High Kyuu!!, HQ!!;ハイキュー!!
1;Haikyuu!! Second Season;https://myanimelist.net/anime/28891/Haikyuu_Second_Season;https://cdn.myanimelist.net/resources/mxj_panel/2022/20221116_paralive_club_event.png;24 min. per ep.;Finished Airing;Oct 4, 2015 to Mar 27, 2016;25;TV;Manga;NOT_EXIST;['School', 'Team Sports'];Shounen;['Dentsu', 'Mainichi Broadcasting System', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha'];Production I.G;Sentai Filmworks;['Murase, Ayumu', 'Ishikawa, Kaito', 'Namikawa, Daisuke', 'Okamoto, Nobuhiko', 'Kaji, Yuuki', 'Uchiyama, Kouki', 'Kimura, Ryouhei', 'Nakamura, Yuuichi', 'Irino, Miyu', 'Oosaka, Ryouta'];[{'name': 'Morihiro, Fumi', 'role': 'Producer'}, {'name': 'Kananiwa, Kozue', 'role': 'Producer'}, {'name': 'Matsushita, Keiko', 'role': 'Producer'}, {'name': 'Maeda, Toshihiro', 'role': 'Producer'}];8.63;#70;PG-13 - Teens 13 or older;15,441;#85;1,340,850;['Crunchyroll'];Following their participation at the Inter-High, the Karasuno High School volleyball team attempts to refocus their efforts, aiming to conquer the Spring tournament instead.  When they receive an invitation from long-standing rival Nekoma High, Karasuno agrees to take part in a large training camp alongside many notable volleyball teams in Tokyo and even some national level players. By playing with some of the toughest teams in Japan, they hope not only to sharpen their skills, but also come up with new attacks that would strengthen them. Moreover, Hinata and Kageyama attempt to devise a more powerful weapon, one that could possibly break the sturdiest of blocks.  Facing what may be their last chance at victory before the senior players graduate, the members of Karasuno's volleyball team must learn to settle their differences and train harder than ever if they hope to overcome formidable opponents old and new—including their archrival Aoba Jousai and its world-class setter Tooru Oikawa.  [Written by MAL Rewrite];Haikyuu!! Second Season;ハイキュー!! セカンドシーズン
2;Kuroko no Basket;https://myanimelist.net/anime/11771/Kuroko_no_Basket;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230404_20230329_readmanga_1.png;24 min. per ep.;Finished Airing;Apr 8, 2012 to Sep 22, 2012;25;TV;Manga;NOT_EXIST;['School', 'Team Sports'];Shounen;['Bandai Visual', 'Lantis', 'Nihon Ad Systems', 'Mainichi Broadcasting System', 'Banpresto', 'Shueisha', 'BS11'];Production I.G;None found, add some;['Ono, Kensho', 'Ono, Yuuki', 'Suwabe, Junichi', 'Kamiya, Hiroshi', 'Kimura, Ryouhei', 'Ono, Daisuke', 'Suzumura, Kenichi', 'Hamada, Kenji', 'Suzuki, Tatsuhisa', 'Orikasa, Fumiko'];[{'name': 'Morihiro, Fumi', 'role': 'Producer'}, {'name': 'Oowada, Tomoyuki', 'role': 'Producer'}, {'name': 'Kuroki, Rui', 'role': 'Producer'}, {'name': 'Maruyama, Hiroo', 'role': 'Producer'}];8.07;#496;PG-13 - Teens 13 or older;20,561;#110;1,139,622;['Crunchyroll', 'Netflix'];"For the last three years, Teikou Middle School has dominated the national basketball scene with its legendary lineup: the ""Generation of Miracles."" It consisted of five prodigies who excelled at the sport, but a ""Phantom Sixth Man"" lurked in the shadows and helped earn the team their revered status. Eventually, their monstrous growth jaded them from the sport they loved and made them go their separate ways in high school.  In search of new members, the Seirin High School basketball team recruits Taiga Kagami and Tetsuya Kuroko, two freshmen who seem to have significant differences in abilities. Having returned recently from America, Kagami has both a natural aptitude and relentless love for the sport. Meanwhile, Kuroko lacks presence and exhibits no outstanding athletic talent. However, it is later revealed that he is Teikou's Phantom Sixth Man—the player once part of the Generation of Miracles.  Kuroko wants to prove to the Seirin team that he is strong in his own way. Seeing his conviction, Kagami forms a dynamic partnership with Kuroko, the latter promising to support Kagami's ""light"" as his ""shadow."" Alongside their new Seirin teammates, they aim to conquer the upcoming Interhigh championship, but the reappearance of Kuroko's former teammates complicates their plan.  [Written by MAL Rewrite]";Kuroko no Basuke, KuroBas, The Basketball Which Kuroko Plays;黒子のバスケ
3;Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou;https://myanimelist.net/anime/32935/Haikyuu_Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230531_20230329_readmanga_2.png;24 min. per ep.;Finished Airing;Oct 8, 2016 to Dec 10, 2016;10;TV;Manga;NOT_EXIST;['School', 'Team Sports'];Shounen;['Dentsu', 'Mainichi Broadcasting System', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha'];Production I.G;Sentai Filmworks;['Murase, Ayumu', 'Ishikawa, Kaito', 'Namikawa, Daisuke', 'Okamoto, Nobuhiko', 'Uchiyama, Kouki', 'Kimura, Ryouhei', 'Nakamura, Yuuichi', 'Irino, Miyu', 'Oosaka, Ryouta', 'Hayashi, Yuu'];[{'name': 'Morihiro, Fumi', 'role': 'Producer'}, {'name': 'Matsushita, Keiko', 'role': 'Producer'}, {'name': 'Maeda, Toshihiro', 'role': 'Producer'}, {'name': 'Mitsunaka, Susumu', 'role': 'Director, Script, Storyboard, Screenplay, Key Animation'}];8.78;#35;PG-13 - Teens 13 or older;15,096;#115;1,123,905;['Crunchyroll', 'HIDIVE'];After the victory against Aoba Jousai High, Karasuno High School, once called “a fallen powerhouse, a crow that can’t fly,” has finally reached the climax of the heated Spring tournament. Now, to advance to nationals, the Karasuno team has to defeat the powerhouse Shiratorizawa Academy. Karasuno’s greatest hurdle is their adversary’s ace, Wakatoshi Ushijima, the number one player in the Miyagi Prefecture, and one of the country’s top three aces.  Only the strongest team will make it to the national tournament. Since this match is the third-year players’ last chance to qualify for nationals, Karasuno has to use everything they learned during the training camp and prior matches to attain victory. Filled with restlessness and excitement, both teams are determined to come out on top in the third season of Haikyuu!!.  [Written by MAL Rewrite];Haikyuu!! Third Season, Haikyuu!! Karasuno High VS Shiratorizawa Academy;ハイキュー!! 烏野高校 VS 白鳥沢学園高校
4;Haikyuu!! To the Top;https://myanimelist.net/anime/38883/Haikyuu_To_the_Top;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230531_20230329_readmanga_2.png;24 min. per ep.;Finished Airing;Jan 11, 2020 to Apr 4, 2020;13;TV;Manga;NOT_EXIST;['School', 'Team Sports'];Shounen;['Dentsu', 'Mainichi Broadcasting System', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha'];Production I.G;Sentai Filmworks;['Murase, Ayumu', 'Ishikawa, Kaito', 'Okamoto, Nobuhiko', 'Kaji, Yuuki', 'Uchiyama, Kouki', 'Kimura, Ryouhei', 'Nakamura, Yuuichi', 'Irino, Miyu', 'Oosaka, Ryouta', 'Hayashi, Yuu'];[{'name': 'Morihiro, Fumi', 'role': 'Producer'}, {'name': 'Matsushita, Keiko', 'role': 'Producer'}, {'name': 'Maeda, Toshihiro', 'role': 'Producer'}, {'name': 'Kurashima, Mayumi', 'role': 'Producer'}];8.36;#200;PG-13 - Teens 13 or older;4,984;#179;860,283;['Crunchyroll'];After their triumphant victory over Shiratorizawa Academy, the Karasuno High School volleyball team has earned their long-awaited ticket to nationals. As preparations begin, genius setter Tobio Kageyama is invited to the All-Japan Youth Training Camp to play alongside fellow nationally recognized players. Meanwhile, Kei Tsukishima is invited to a special rookie training camp for first-years within the Miyagi Prefecture. Not receiving any invitations himself, the enthusiastic Shouyou Hinata feels left behind.  However, Hinata does not back down. Transforming his frustration into self-motivation, he boldly decides to sneak himself into the same rookie training camp as Tsukishima. Even though Hinata only lands himself a job as the ball boy, he comes to see this as a golden opportunity. He begins to not only reflect on his skills as a volleyball player but also analyze the plethora of information available on the court and how he can apply it.  As the much-anticipated national tournament approaches, the members of Karasuno's volleyball team attempt to overcome their weak points and refine their skills, all while aiming for the top!  [Written by MAL Rewrite];Haikyuu!! (2020),;ハイキュー!! TO THE TOP
5;Yuri!!! on Ice;https://myanimelist.net/anime/32995/Yuri_on_Ice;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230313192021_20230315_ec-kimetsu-world-tour.jpg;23 min. per ep.;Finished Airing;Oct 6, 2016 to Dec 22, 2016;12;TV;Original;['Award Winning', 'Sports'];NOT_EXIST;NOT_EXIST;['Dentsu', 'TV Asahi', 'Movic', 'Avex Pictures', 'CIC', 'Cygames'];MAPPA;Funimation, Crunchyroll;['Suwabe, Junichi', 'Uchiyama, Kouki', 'Toyonaga, Toshiyuki', 'Ono, Kensho', 'Hosoya, Yoshimasa', 'Murase, Ayumu', 'Yasumoto, Hiroki', 'Miyano, Mamoru', 'Nojima, Kenji', 'Honjou, Yuutaro'];[{'name': 'Katsumata, Hideo', 'role': 'Producer'}, {'name': 'Ogawa, Takahiro', 'role': 'Producer'}, {'name': 'Yamamoto, Sayo', 'role': 'Director, Episode Director, Storyboard, Original Creator, Series Composition'}, {'name': 'Shimizu, Youji', 'role': 'Sound Director'}];7.90;#742;PG-13 - Teens 13 or older;20,003;#186;839,680;['Crunchyroll', 'Funimation'];Reeling from his crushing defeat at the Grand Prix Finale, Yuuri Katsuki, once Japan's most promising figure skater, returns to his family home to assess his options for the future. At age 23, Yuuri's window for success in skating is closing rapidly, and his love of pork cutlets and aptitude for gaining weight are not helping either.  However, Yuuri finds himself in the spotlight when a video of him performing a routine previously executed by five-time world champion, Victor Nikiforov, suddenly goes viral. In fact, Victor himself abruptly appears at Yuuri's house and offers to be his mentor. As one of his biggest fans, Yuuri eagerly accepts, kicking off his journey to make it back onto the world stage. But the competition is fierce, as the rising star from Russia, Yuri Plisetsky, is relentlessly determined to defeat Yuuri and win back Victor's tutelage.  [Written by MAL Rewrite];NOT_EXIST;ユーリ!!! on ICE
6;Kuroko no Basket 2nd Season;https://myanimelist.net/anime/16894/Kuroko_no_Basket_2nd_Season;https://cdn.myanimelist.net/resources/mxj_panel/2022/20221116_paralive_club_event.png;24 min. per ep.;Finished Airing;Oct 6, 2013 to Mar 30, 2014;25;TV;Manga;NOT_EXIST;['School', 'Team Sports'];Shounen;['Bandai Visual', 'Lantis', 'Nihon Ad Systems', 'Banpresto', 'Shueisha', 'BS11'];Production I.G;None found, add some;['Ono, Kensho', 'Ono, Yuuki', 'Suwabe, Junichi', 'Kamiya, Hiroshi', 'Kimura, Ryouhei', 'Ono, Daisuke', 'Suzumura, Kenichi', 'Hamada, Kenji', 'Suzuki, Tatsuhisa', 'Orikasa, Fumiko'];[{'name': 'Morihiro, Fumi', 'role': 'Producer'}, {'name': 'Oowada, Tomoyuki', 'role': 'Producer'}, {'name': 'Kuroki, Rui', 'role': 'Producer'}, {'name': 'Maruyama, Hiroo', 'role': 'Producer'}];8.22;#323;PG-13 - Teens 13 or older;4,306;#196;809,532;['Crunchyroll'];"With the Interhigh Championship finally over, Seirin's basketball team refocuses their efforts, training harder than ever to get the chance to participate in the Winter Cup. Both Tetsuya Kuroko and Taiga Kagami see old friends walk back into their lives, providing a challenge both on and off the court.  As new skills are developed and new alliances created, enemies from various teams—giants of high school basketball such as Yousen, Shuutoku, and Touou—stand in the way of Seirin's steadfast attempts to get to the top. All of these schools prove to be formidable foes whose abilities progress exponentially, while Kuroko struggles to find a balance between his resolve to play as part of a team and his desire to win.  With old wounds reopening, new challenges to face on the court, and a new set of foes—the ""Uncrowned Kings""—vowing to defeat the new hopefuls, will Seirin ever be able to achieve their dream of beating the Generation of Miracles?  [Written by MAL Rewrite]";Kuroko no Basuke 2nd Season, The Basketball Which Kuroko Plays;黒子のバスケ
7;Free!;https://myanimelist.net/anime/18507/Free;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322180508_20230322_animeartacademy.png;23 min. per ep.;Finished Airing;Jul 4, 2013 to Sep 26, 2013;12;TV;Original;NOT_EXIST;NOT_EXIST;NOT_EXIST;['Lantis', 'Iwatobi High School Swimming Club', 'Asahi Broadcasting'];Kyoto Animation, Animation Do;Funimation, Discotek Media, Crunchyroll;['Miyano, Mamoru', 'Yukino, Satsuki', 'Matsumoto, Megumi', 'Yonaga, Tsubasa', 'Hirakawa, Daisuke', 'Watanabe, Akeno', 'Miyata, Kouki', 'Tsuda, Kenjirou', 'Yanaka, Hiroshi', 'Yukino, Satsuki'];[{'name': 'Nakamura, Shinichi', 'role': 'Producer'}, {'name': 'Saitou, Shigeru', 'role': 'Producer'}, {'name': 'Nishide, Masayuki', 'role': 'Producer'}, {'name': 'Utsumi, Hiroko', 'role': 'Director'}];7.33;#2445;PG-13 - Teens 13 or older;9,406;#224;768,724;['Crunchyroll', 'Funimation', ''];"Haruka Nanase has a love for water and a passion for swimming. In elementary school, he competed in and won a relay race with his three friends Rin Matsuoka, Nagisa Hazuki, and Makoto Tachibana. After claiming victory at the tournament, the four friends went their separate ways. Years later, they reunite as high school students; however, Rin couldn't care less about returning to the way things used to be. Not only does he attend a different school, but the sole thing important to him is proving that he is a better swimmer than Haruka.  After the bitter reunion, Haruka, Nagisa, and Makoto decide to form the Iwatobi High School Swim Club, but they will need a fourth member if they hope to take part in the upcoming tournament. Enter Rei Ryuugazaki, a former member of the track team whom Nagisa recruits. As the time to compete draws near, the four develop a close bond while training intensely to come out on top and settle things between Haruka and Rin once and for all.  [Written by MAL Rewrite]";フリー！;Free!
8;Haikyuu!! To the Top Part 2;https://myanimelist.net/anime/40776/Haikyuu_To_the_Top_Part_2;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230404_20230329_readmanga_1.png;23 min. per ep.;Finished Airing;Oct 3, 2020 to Dec 19, 2020;12;TV;Manga;NOT_EXIST;['School', 'Team Sports'];Shounen;['Dentsu', 'Mainichi Broadcasting System', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha'];Production I.G;Sentai Filmworks;['Murase, Ayumu', 'Ishikawa, Kaito', 'Namikawa, Daisuke', 'Okamoto, Nobuhiko', 'Kaji, Yuuki', 'Uchiyama, Kouki', 'Kimura, Ryouhei', 'Nakamura, Yuuichi', 'Irino, Miyu', 'Oosaka, Ryouta'];[{'name': 'Morihiro, Fumi', 'role': 'Producer'}, {'name': 'Matsushita, Keiko', 'role': 'Producer'}, {'name': 'Taguchi, Shouichirou', 'role': 'Producer'}, {'name': 'Maeda, Toshihiro', 'role': 'Producer'}];8.54;#108;PG-13 - Teens 13 or older;5,860;#236;739,954;['Crunchyroll'];"Once called a fallen powerhouse and known as ""Flightless Crows,"" Karasuno High School has finally taken flight at nationals. With a comprehensive performance against Tsubakihara Academy in their first match, the team is now facing its toughest opponent yet: the runners-up of the last Spring Tournament, Inarizaki High School. Furthermore, dealing with the formidable twin Miya brothers only makes things more difficult for Karasuno.  As soon as the match begins, Karasuno is overwhelmed by all the noise and jeers from the supporters of Inarizaki High but rekindles its strength thanks to its own loyal fans. Karasuno also gains some momentum by utilizing an attack centered on Shouyou Hinata, but the eccentric play of Atsumu and Osamu Miya delivers an unexpected blow that leaves their opponent astounded.  Things are bound to get intense as the match progresses between these two teams. Will Karasuno be able to defeat Inarizaki High and overcome the hurdles that threaten its pursuit to the top?  [Written by MAL Rewrite]";Haikyu!! TO THE TOP 2nd-cour, Haikyu!! TO THE TOP Part 2;ハイキュー TO THE TOP 第2クール
9;Kuroko no Basket 3rd Season;https://myanimelist.net/anime/24415/Kuroko_no_Basket_3rd_Season;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230313192021_20230315_ec-kimetsu-world-tour.jpg;24 min. per ep.;Finished Airing;Jan 11, 2015 to Jun 30, 2015;25;TV;Manga;NOT_EXIST;['School', 'Team Sports'];Shounen;['Bandai Visual', 'Lantis', 'Nihon Ad Systems', 'Banpresto', 'Shueisha', 'BS11'];Production I.G;None found, add some;['Ono, Kensho', 'Ono, Yuuki', 'Suwabe, Junichi', 'Kamiya, Hiroshi', 'Kimura, Ryouhei', 'Ono, Daisuke', 'Suzumura, Kenichi', 'Hamada, Kenji', 'Suzuki, Tatsuhisa', 'Orikasa, Fumiko'];[{'name': 'Morihiro, Fumi', 'role': 'Producer'}, {'name': 'Oowada, Tomoyuki', 'role': 'Producer'}, {'name': 'Kuroki, Rui', 'role': 'Producer'}, {'name': 'Isobe, Maaya', 'role': 'Producer'}];8.30;#249;PG-13 - Teens 13 or older;5,002;#242;718,431;['Crunchyroll', 'Netflix'];"Seirin prepares to face major obstacles on their path to winning the Winter Cup, including the teams each possessing a member of the Generation of Miracles. Kuroko goes head-to-head with his old teammates once more as he attempts to show them that individual skill is not the only way to play basketball. His firm belief that his form of basketball, team play, is the right way to play the sport will clash with the talents of a perfect copy and an absolute authority.  While Kuroko tries to prove that his basketball is ""right,"" he and the rest of Seirin High ultimately have one goal: to win the Winter Cup and overcome the strength of the Generation of Miracles, who have long dominated the scene of middle and high school basketball.  [Written by MAL Rewrite]";Kuroko no Basuke 3rd Season, The Basketball Which Kuroko Plays;黒子のバスケ
